,Location,Fuel_Type,Transmission,Mileage,Engine,Power,Seats,Price,Car_Companies,Car_model
252,Jaipur,Diesel,Manual,19.91,1498.0,103.6,5.0,3.7,Volkswagen,polo
256,Pune,Diesel,Manual,13.68,2393.0,147.8,7.0,18.65,Toyota,innova
260,Pune,Diesel,Manual,22.9,1248.0,74.0,5.0,3.75,Maruti,swift
261,Hyderabad,Diesel,Manual,22.0,1582.0,126.2,5.0,2.6,Hyundai,verna
265,Bangalore,Diesel,Manual,15.8,2148.0,170.0,5.0,18.0,Mercedes-Benz,new
266,Hyderabad,Diesel,Manual,23.2,1248.0,73.94,5.0,4.35,Maruti,ritz
267,Bangalore,Diesel,Manual,19.67,1582.0,126.2,5.0,13.75,Hyundai,creta
269,Delhi,Diesel,Manual,19.64,1461.0,108.45,5.0,10.0,Renault,duster
270,Delhi,Diesel,Manual,17.8,1248.0,76.0,5.0,1.65,Fiat,grande
273,Pune,Diesel,Manual,12.8,2494.0,102.0,7.0,12.8,Toyota,innova
275,Hyderabad,Diesel,Manual,28.4,1248.0,74.0,5.0,7.15,Maruti,swift
276,Pune,Diesel,Manual,12.05,2179.0,120.0,8.0,7.0,Mahindra,scorpio
277,Pune,Diesel,Manual,22.95,1248.0,74.0,5.0,3.75,Tata,zest
279,Jaipur,Diesel,Manual,23.4,1248.0,74.0,5.0,4.35,Maruti,swift
286,Kolkata,Diesel,Manual,21.9,1396.0,88.8,5.0,3.11,Hyundai,i20
288,Hyderabad,Diesel,Manual,20.54,1598.0,103.6,5.0,4.7,Volkswagen,vento
290,Pune,Diesel,Manual,22.95,1248.0,74.0,5.0,5.25,Tata,zest
294,Coimbatore,Diesel,Manual,15.0,1896.0,105.0,5.0,6.7,Volkswagen,jetta
298,Chennai,Diesel,Manual,13.68,2393.0,147.8,7.0,20.25,Toyota,innova
300,Hyderabad,Diesel,Manual,12.99,2494.0,100.6,7.0,8.26,Toyota,innova
304,Coimbatore,Diesel,Manual,17.0,1405.0,70.0,5.0,2.58,Tata,indigo
308,Kolkata,Diesel,Manual,17.8,1248.0,98.35133885102239,5.0,2.5,Maruti,swift
312,Hyderabad,Diesel,Manual,20.54,1598.0,103.6,5.0,3.65,Volkswagen,vento
315,Hyderabad,Diesel,Manual,14.07,2956.0,83.1,7.0,1.5,Tata,sumo
316,Pune,Diesel,Manual,18.0,1248.0,75.0,5.0,2.85,Tata,indica
318,Hyderabad,Diesel,Manual,16.0,2179.0,140.0,7.0,10.6,Mahindra,xuv500
319,Pune,Diesel,Manual,17.1,1396.0,70.0,5.0,1.25,Tata,indigo
322,Kolkata,Diesel,Manual,19.3,1248.0,73.9,5.0,3.7,Maruti,swift
323,Hyderabad,Diesel,Manual,17.8,1399.0,68.0,5.0,2.8,Ford,fiesta
329,Pune,Diesel,Manual,23.0,1396.0,90.0,5.0,5.5,Hyundai,i20
332,Hyderabad,Diesel,Manual,25.2,1248.0,74.0,5.0,6.15,Maruti,swift
338,Pune,Diesel,Manual,21.12,1248.0,88.8,5.0,3.4,Tata,manza
343,Chennai,Diesel,Manual,24.3,1248.0,88.5,5.0,7.15,Maruti,vitara
345,Hyderabad,Diesel,Manual,18.0,1248.0,75.0,5.0,3.5,Tata,indica
346,Kolkata,Diesel,Manual,25.8,1498.0,98.6,5.0,3.45,Honda,amaze
349,Bangalore,Diesel,Manual,22.32,1582.0,126.32,5.0,5.25,Hyundai,verna
350,Ahmedabad,Diesel,Manual,21.02,1248.0,88.8,5.0,2.9,Tata,manza
353,Mumbai,Diesel,Manual,22.7,1498.0,89.84,5.0,6.75,Ford,ecosport
359,Delhi,Diesel,Manual,22.9,1248.0,74.0,5.0,3.5,Maruti,swift
361,Chennai,Diesel,Manual,23.08,1461.0,63.1,5.0,2.75,Nissan,micra
362,Mumbai,Diesel,Manual,23.4,1248.0,74.0,5.0,3.25,Maruti,swift
363,Pune,Diesel,Manual,17.8,1399.0,67.0,5.0,3.25,Ford,fiesta
366,Kolkata,Diesel,Manual,23.59,1364.0,67.05,5.0,3.25,Toyota,etios
372,Hyderabad,Diesel,Manual,24.3,1248.0,88.5,5.0,9.49,Maruti,vitara
376,Chennai,Diesel,Manual,20.45,1461.0,83.8,5.0,7.1,Renault,duster
377,Mumbai,Diesel,Manual,21.43,1364.0,87.2,5.0,16.5,Toyota,corolla
378,Chennai,Diesel,Manual,15.8,2148.0,170.0,5.0,26.0,Mercedes-Benz,new
379,Hyderabad,Diesel,Manual,21.1,1248.0,73.9,5.0,3.2,Maruti,ritz
381,Kochi,Diesel,Manual,24.4,1120.0,71.0,5.0,4.0,Hyundai,xcent
395,Coimbatore,Diesel,Manual,21.1,1248.0,73.9,5.0,3.91,Maruti,ritz
397,Pune,Diesel,Manual,13.49,2179.0,138.03,5.0,3.5,Tata,xenon
412,Kochi,Diesel,Manual,15.4,2179.0,120.0,7.0,13.05,Mahindra,scorpio
424,Hyderabad,Diesel,Manual,0.0,1968.0,98.35133885102239,5.0,5.45,Volkswagen,jetta
429,Bangalore,Diesel,Manual,23.59,1364.0,67.04,5.0,5.75,Toyota,etios
434,Coimbatore,Diesel,Manual,20.37,1461.0,108.45,5.0,13.37,Renault,captur
442,Coimbatore,Diesel,Manual,15.96,2523.0,62.1,7.0,7.7,Mahindra,bolero
448,Hyderabad,Diesel,Manual,22.3,1248.0,74.0,5.0,2.5,Tata,indica
449,Kochi,Diesel,Manual,16.0,2179.0,140.0,7.0,7.53,Mahindra,xuv500
454,Hyderabad,Diesel,Manual,12.8,2494.0,102.0,7.0,13.5,Toyota,innova
455,Hyderabad,Diesel,Manual,27.62,793.0,47.0,5.0,3.5,Maruti,celerio
456,Delhi,Diesel,Manual,25.1,1248.0,88.5,5.0,8.92,Maruti,s-cross
461,Hyderabad,Diesel,Manual,19.01,1461.0,108.45,5.0,5.99,Renault,duster
462,Pune,Diesel,Manual,24.4,1120.0,71.0,5.0,5.25,Hyundai,xcent
463,Delhi,Diesel,Manual,22.7,1498.0,89.84,5.0,6.5,Ford,ecosport
465,Kolkata,Diesel,Manual,24.0,1120.0,70.0,5.0,4.6,Hyundai,grand
466,Ahmedabad,Diesel,Manual,21.12,1248.0,88.8,5.0,2.95,Tata,manza
469,Hyderabad,Diesel,Manual,12.99,2494.0,100.0,7.0,10.5,Toyota,innova
470,Coimbatore,Diesel,Manual,28.09,1248.0,88.5,5.0,8.26,Maruti,ciaz
471,Delhi,Diesel,Manual,12.55,2982.0,169.0,7.0,14.45,Toyota,fortuner
474,Chennai,Diesel,Manual,15.8,2148.0,170.0,5.0,23.0,Mercedes-Benz,new
475,Kolkata,Diesel,Manual,17.72,1968.0,108.49,5.0,5.5,Skoda,yeti
479,Mumbai,Diesel,Manual,19.87,1461.0,83.8,5.0,7.0,Renault,duster
481,Chennai,Diesel,Manual,20.0,1399.0,68.0,5.0,2.25,Ford,figo
483,Coimbatore,Diesel,Manual,12.55,2982.0,168.5,7.0,28.42,Toyota,fortuner
484,Kolkata,Diesel,Manual,22.07,1199.0,73.9,5.0,2.75,Volkswagen,polo
485,Jaipur,Diesel,Manual,23.2,1248.0,73.94,5.0,3.0,Maruti,ritz
486,Pune,Diesel,Manual,23.08,1461.0,63.1,5.0,3.55,Nissan,micra
487,Kolkata,Diesel,Manual,22.32,1582.0,126.32,5.0,4.8,Hyundai,verna
495,Chennai,Diesel,Manual,18.7,1896.0,66.0,5.0,3.2,Skoda,octavia
504,Mumbai,Diesel,Manual,22.7,1498.0,89.84,5.0,6.25,Ford,ecosport
505,Hyderabad,Diesel,Manual,17.8,1248.0,75.0,5.0,3.6,Maruti,swift
513,Delhi,Diesel,Manual,15.4,1997.0,120.0,7.0,12.25,Mahindra,scorpio
514,Pune,Diesel,Manual,20.5,1598.0,103.5,5.0,3.76,Skoda,rapid
515,Coimbatore,Diesel,Manual,19.01,1461.0,108.45,5.0,8.58,Renault,duster
529,Hyderabad,Diesel,Manual,11.5,2982.0,171.0,7.0,13.0,Toyota,fortuner
534,Coimbatore,Diesel,Manual,14.66,2199.0,194.3,7.0,8.36,Hyundai,santa
535,Jaipur,Diesel,Manual,17.0,1405.0,70.0,5.0,1.0,Tata,indigo
537,Hyderabad,Diesel,Manual,19.3,1248.0,73.9,5.0,3.85,Maruti,swift
538,Hyderabad,Diesel,Manual,17.8,1399.0,67.0,5.0,3.0,Ford,fiesta
540,Delhi,Diesel,Manual,13.0,2982.0,168.5,7.0,13.25,Toyota,fortuner
542,Delhi,Diesel,Manual,22.54,1396.0,88.73,5.0,6.75,Hyundai,i20
543,Bangalore,Diesel,Manual,18.2,1248.0,73.8,7.0,4.85,Chevrolet,enjoy
546,Mumbai,Diesel,Manual,12.99,2494.0,100.0,7.0,9.51,Toyota,innova
548,Delhi,Diesel,Manual,19.01,1461.0,108.45,5.0,6.75,Renault,duster
551,Delhi,Diesel,Manual,28.09,1248.0,88.5,5.0,9.5,Maruti,ciaz
553,Pune,Diesel,Manual,15.1,2179.0,140.0,7.0,6.5,Mahindra,xuv500
555,Pune,Diesel,Manual,25.47,1248.0,88.5,7.0,6.75,Maruti,ertiga
556,Chennai,Diesel,Manual,23.59,1364.0,67.04,5.0,3.8,Toyota,etios
558,Hyderabad,Diesel,Manual,21.13,1498.0,108.4,5.0,10.5,Skoda,rapid
559,Hyderabad,Diesel,Manual,20.14,1498.0,88.8,5.0,6.2,Volkswagen,polo
561,Chennai,Diesel,Manual,19.2,1461.0,65.0,5.0,2.3,Mahindra,renault
564,Jaipur,Diesel,Manual,27.3,1498.0,98.6,5.0,5.65,Honda,jazz
565,Kochi,Diesel,Manual,25.8,1498.0,98.6,5.0,5.6,Honda,amaze
567,Coimbatore,Diesel,Manual,26.59,1248.0,74.0,5.0,7.39,Maruti,swift
568,Jaipur,Diesel,Manual,17.1,1956.0,170.0,5.0,19.0,Jeep,compass
573,Jaipur,Diesel,Manual,15.96,2523.0,62.1,7.0,6.0,Mahindra,bolero
574,Chennai,Diesel,Manual,22.9,1248.0,74.0,5.0,5.25,Maruti,swift
578,Coimbatore,Diesel,Manual,20.14,1498.0,88.0,5.0,8.12,Volkswagen,polo
579,Coimbatore,Diesel,Manual,13.6,2523.0,63.0,7.0,6.12,Mahindra,bolero
580,Coimbatore,Diesel,Manual,25.1,1498.0,98.6,5.0,10.88,Honda,city
587,Kolkata,Diesel,Manual,20.77,1248.0,88.76,7.0,5.95,Maruti,ertiga
590,Ahmedabad,Diesel,Manual,20.45,1461.0,83.8,5.0,4.75,Renault,duster
591,Hyderabad,Diesel,Manual,17.21,1493.0,100.0,7.0,3.3,Mahindra,quanto
594,Hyderabad,Diesel,Manual,19.3,1248.0,73.9,5.0,4.39,Maruti,swift
595,Kochi,Diesel,Manual,25.2,1248.0,74.0,5.0,6.2,Maruti,swift
597,Mumbai,Diesel,Manual,10.5,2835.0,107.2,6.0,5.45,Mitsubishi,pajero
605,Ahmedabad,Diesel,Manual,16.0,2179.0,140.0,7.0,12.5,Mahindra,xuv500
606,Hyderabad,Diesel,Manual,20.45,1461.0,83.8,5.0,6.9,Nissan,terrano
607,Jaipur,Diesel,Manual,22.32,1582.0,126.32,5.0,5.8,Hyundai,verna
609,Bangalore,Diesel,Manual,15.4,2179.0,120.0,7.0,8.5,Mahindra,scorpio
610,Coimbatore,Diesel,Manual,23.9,1582.0,126.2,5.0,10.7,Hyundai,verna
613,Kolkata,Diesel,Manual,13.6,2523.0,63.0,7.0,1.95,Mahindra,bolero
615,Hyderabad,Diesel,Manual,13.68,2393.0,147.8,8.0,17.5,Toyota,innova
617,Delhi,Diesel,Manual,22.07,1199.0,73.9,5.0,2.9,Volkswagen,polo
618,Pune,Diesel,Manual,24.3,1248.0,88.5,5.0,8.9,Maruti,vitara
623,Hyderabad,Diesel,Manual,14.0,2498.0,112.0,8.0,3.85,Mahindra,xylo
626,Kochi,Diesel,Manual,16.0,2179.0,140.0,7.0,12.46,Mahindra,xuv500
627,Delhi,Diesel,Manual,21.27,1396.0,88.76,5.0,4.65,Hyundai,i20
628,Hyderabad,Diesel,Manual,13.0,2982.0,168.5,7.0,20.5,Toyota,fortuner
629,Chennai,Diesel,Manual,13.6,2523.0,63.0,8.0,2.9,Mahindra,bolero
635,Jaipur,Diesel,Manual,14.1,2179.0,154.0,7.0,11.25,Tata,safari
636,Kochi,Diesel,Manual,21.9,1498.0,98.6,7.0,10.79,Honda,br-v
637,Kolkata,Diesel,Manual,19.33,1968.0,138.03,5.0,5.9,Volkswagen,jetta
643,Coimbatore,Diesel,Manual,22.32,1582.0,126.3,5.0,9.19,Hyundai,verna
648,Jaipur,Diesel,Manual,13.5,1405.0,98.35133885102239,5.0,0.75,Tata,indica
649,Delhi,Diesel,Manual,15.1,2179.0,140.0,7.0,8.1,Mahindra,xuv500
650,Jaipur,Diesel,Manual,28.09,1248.0,88.5,5.0,9.75,Maruti,ciaz
656,Chennai,Diesel,Manual,21.9,1396.0,90.0,5.0,2.8,Hyundai,i20
660,Mumbai,Diesel,Manual,12.99,2494.0,100.6,7.0,12.75,Toyota,innova
661,Jaipur,Diesel,Manual,24.0,1120.0,70.0,5.0,4.15,Hyundai,grand
663,Delhi,Diesel,Manual,12.8,2494.0,102.0,7.0,8.9,Toyota,innova
664,Jaipur,Diesel,Manual,16.8,1493.0,110.0,5.0,1.5,Hyundai,verna
665,Pune,Diesel,Manual,23.2,1248.0,73.94,5.0,3.27,Maruti,ritz
668,Coimbatore,Diesel,Manual,24.3,1248.0,88.5,5.0,11.31,Maruti,vitara
672,Hyderabad,Diesel,Manual,22.07,1199.0,73.9,5.0,4.65,Volkswagen,polo
673,Hyderabad,Diesel,Manual,20.77,1248.0,88.8,7.0,7.5,Maruti,ertiga
